file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00268_768.950-772.400,ཚེ་ཐུང་ཐུང་ཐུང་རེད་དཱ། ད་ཡིན་ནས། ང་རང་ཚོ་འདུག་སེ། མི་ཚེ་སྐྱེལ་འདུག་སེ་བསྡད་ཤོག་ད། ཚེ་རིང་པོ་ཡོད།  ,tshe thung thung thung red dA/_da yin nas/_nga rang tsho 'dug se/_mi tshe skyel 'dug se bsdad shog da/_tshe ring po yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00268_768.950-772.400.wav,STT_TT,3,98,3.449999999999932,wav16k/STT_TT00268_768.950-772.400.wav,ཚེ་ཐུང་ཐུང་ཐུང་ཐུང་རེད་དཱ། ད་ཡིན་ནས་ང་རང་ཚོ་འདུག་སེ་མི་ཚེ་སྐྱལ་འདུག་སེ་བསྡད་ཤོག་དང་ཚེ་རིང་པོ་ཡོད།
STT_TT00261_955.100-958.000,ད་ཆ་རྐྱེན་ཁྱོན་ནས་མེད་རྒྱོ་ཅིག་གིས་མི་གཅིག་དེ་བ་ཕྱིན་པ་ཡིན་ན་ད་ཁག་ཅིག་མེད།  ,da cha rkyen khyon nas med rgyo cig gis mi gcig de ba phyin pa yin na da khag cig med/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00261_955.100-958.000.wav,STT_TT,3,76,2.8999999999999773,wav16k/STT_TT00261_955.100-958.000.wav,ད་ཆ་རྐྱེན་ྒྱོན་ནས་མེད་རྒྱོ་ཅིག་མི་གཅིག་དེ་བ་ཕྱིན་པ་ཡིན་ན་ལྟ། ཁག་གཅིག་ཡེ་མེད།
STT_TT00274_598.750-601.200,མི་གཅིག་ཡོང་བྱས། སངས་རྒྱས་ཀི་བསྟན་པ་བཤིག་མ་བཤིག་སྐད་ཆ་ཤོད་ཡ་མི་འདུག་བ།  ,mi gcig yong byas/_sangs rgyas ki bstan pa bshig ma bshig skad cha shod ya mi 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00274_598.750-601.200.wav,STT_TT,3,72,2.450000000000045,wav16k/STT_TT00274_598.750-601.200.wav,མི་གཅིག་ཡོང་བྱས་སངས་རྒྱས་ཀི་བསྟན་པ་ཤི་མ་ཤི་ཀི་སྐད་ཆ་ཤོད་ཡ་མི་འདུག་ག།
STT_TT00035_05376.600-05378.750,རྟོགས་པའི་ཇི་སྙེད་པའི་ཡོན་ཏན་དེ་གས་དེ་ཇི་བཞིན་ཏུ་ཤེས་པ་དང་།  ,rtogs pa'i ji snyed pa'i yon tan de gas de ji bzhin tu shes pa dang /__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00035_05376.600-05378.750.wav,STT_TT,3,61,2.149999999999636,wav16k/STT_TT00035_05376.600-05378.750.wav,རྟོག་པའི་ཇི་སྙེད་པའི་ཡོན་ཏན་འདེ་གས་དེ་ཇི་བཞིན་ཏུ་ཤེས་པ་དང་།
STT_TT00615_0412_3431595_to_3438506,ངའི་བསྙེན་རྫོགས། མིས། བསྙེན་རྫོགས་ཀི་མཁན་པོ་རེད། ཨེ་ནས་ང་ཆུང་ཆུང་སྒང་ནས་ད། མཚན་ཉིད་བསླབ་ངེ་གཙོ་བོ་ར་བོ་དེ་ཡོངས་འཛིན་རིན་པོ་ཆེ་རེད།  ,nga'i bsnyen rdzogs/_mis/_bsnyen rdzogs ki mkhan po red/_e nas nga chung chung sgang nas da/_mtshan nyid bslab nge gtso bo ra bo de yongs 'dzin rin po che red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00615_0412_3431595_to_3438506.wav,STT_TT,3,132,6.911,wav16k/STT_TT00615_0412_3431595_to_3438506.wav,ངའས་བསྙེན་རྫོགས། མི་བསྙེན་རྫོགས་ཀི་མཁན་པོ་རེད། ཨེ་ནས་ ང་ཆུང་ཆུང་སྒང་ནས་ད། མཚན་ཉིད་བསླབ་ངེ་གཙོ་བོ་འདྲ་བོ་དེ། ཡོངས་འཛིན་རིན་པོ་ཆེ་རེད།
STT_TT00262_399.000-401.750,ལས་རྒྱུ་འབྲས་ཁས་མ་ལེན་པ་བྱས། སྐུར་བ་བཏབ། སྡུག་རེས་ངན་ཚད་མ་ཆགས་སྒང་ལ་ཡ།  ,las rgyu 'bras khas ma len pa byas/_skur ba btab/_sdug res ngan tshad ma chags sgang la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00262_399.000-401.750.wav,STT_TT,3,72,2.75,wav16k/STT_TT00262_399.000-401.750.wav,ལས་རྒྱུ་འབྲས་ཁས་མ་ལེན་པ་བྱས། སྐུ་བ་བཏབ། སྡུག་རིས་ངེ་འདྲས་མ་ཆགས་གོང་ལ་ཡ།
STT_TT00522_0408_2726151_to_2735793,འོ་ད་ལྟ་སྐབས་འདི་གི་ཡེ་ཤེས་ལྔ་དེ། ཨོ་ལགས་སོ། དབང་པོ་དྲུག་གི་ནང་ནས་ཡིད་དབང་གི་ནང་ལོགས་ལ་འདུ་དགོས་རེད་གསུང་གི་ཡོད་རེད་ད། ཡེ་ཤེས་ལྔ་དེ་ཡིད་དབང་གི་ནང་ལོགས་ལ་འདུ།  ,'o da lta skabs 'di gi ye shes lnga de/_o lags so/_dbang po drug gi nang nas yid dbang gi nang logs la 'du dgos red gsung gi yod red da/_ye shes lnga de yid dbang gi nang logs la 'du/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00522_0408_2726151_to_2735793.wav,STT_TT,3,159,9.642,wav16k/STT_TT00522_0408_2726151_to_2735793.wav,ཨོ་ད་ལྟ་སྐབས་འདི་གི་ཡེ་ཤེས་ལྔ་དེ། ཨོ་ལགས་སོ། དབང་པོ་དྲུག་གི་ནང་ནས་ཡིད་དབང་གི་ནང་ལོགས་ལ་འདུ་དགོས་རེད་གསུང་གི་ཡོད་རེད་ད། ཡེ་ཤེས་ལྔ་དེ་ཡིད་དབང་གི་ནང་ལོགས་ལ་འདུ།
STT_NS_M0204_0184_1542920_to_1545556,གང་འདྲའི་བཟའ་གི་ཡོད་ན་སོ་སོ་ཆེད་དུ་བཟའ་གི་ཡོད་རཱ།  ,gang 'dra'i bza' gi yod na so so ched du bza' gi yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0204_0184_1542920_to_1545556.wav,STT_NS,3,51,2.636,wav16k/STT_NS_M0204_0184_1542920_to_1545556.wav,ག་འདྲའི་ཟ་གི་ཡོད་ན་སོ་སོ་སོ་སོ་ཆེད་དུ་ཟ་གི་ཡོད་རཱ།
STT_TT00295_00308.750-00310.200,ཁྱོད་ཡག་པོ་མི་འདུག་ཟེར་ཡ་དེ་ལ་བརྟེན་ནས་ ,khyod yag po mi 'dug zer ya de la brten nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00295_00308.750-00310.200.wav,STT_TT,3,40,1.4499999999999886,wav16k/STT_TT00295_00308.750-00310.200.wav,ཁྱོད་ཡག་པོ་མི་འདུག་ཟེར་ཡ་དེ་ལ་བརྟེན་ནས་ཡོང་ག
STT_TT00291_00088.350-00089.650,དེ་ང་ཚོས་ལས་སླ་བོ་ཅིག་ཁག་པོ་རེད་འདུག་བ།  ,de nga tshos las sla bo cig khag po red 'dug ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00291_00088.350-00089.650.wav,STT_TT,3,41,1.3000000000000114,wav16k/STT_TT00291_00088.350-00089.650.wav,དེ་ང་ཚོ་ལས་སླ་པོ་ཅིག་ཁག་པོ་རེད་འདུག་ག།
